textID,selected_text,processed_text,sentiment_score,sentiment_label,sentiment_encoded
f87dea47db,Last session of the day  http://twitpic.com/67ezh,last session day,0.0,neutral,2
96d74cb729,exciting,exciting,0.3,positive,1
eee518ae67,Recession,recession,0.0,neutral,2
01082688c6, happy bday!,happy bday,1.0,positive,1
33987a8ee5,I like it!!,like,0.0,neutral,2
726e501993,visitors!,visitor,0.0,neutral,2
261932614e,HATES,hate,0.0,neutral,2
afa11da83f,blocked,blocked,0.0,neutral,2
e64208b4ef, and within a short time of the last clue all of them,within short time last clue,0.0,neutral,2
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,get day alright havent done anything yet leaving soon stepsister though,0.0,neutral,2
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,bike put holdshould known argh total bummer,0.0,neutral,2
43b390b336, I checked.  We didn`t win,checked didnt win,0.8,positive,1
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,youre twitter tavern bore much,0.2,positive,1
5c1e0b61a1,"sad,",sad,-0.5,negative,0
504e45d9d9,I feel like my phones hole is not a virgin. That`s how loose it is... :`(,feel like phone hole virgin thats loose,-0.07692307692307693,negative,0
ae93ad52a0,hate,hate,-0.8,negative,0
9fce30159a, Miss you,miss,0.0,neutral,2
00d5195223,Cramps . . .,cramp,0.0,neutral,2
33f19050cf,nice,nice,0.6,positive,1
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",im going spiritual stagnentation exploding ego realise im great im ok,0.43333333333333335,positive,1
9ef44428d0,Stupid storm.,stupid storm,-0.7999999999999999,negative,0
be634ebeb0,My dead grandpa pays more attention to me than you do,dead grandpa pay attention,0.15,positive,1
3dcf4f7e13,bad.,bad,-0.6999999999999998,negative,0
f0ef04109b,about to go to sleep,go sleep,0.0,neutral,2
8be365118e,lame,lame,-0.5,negative,0
c50bdd4567,thats so cool,thats cool,0.35,positive,1
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",hey people dont hate grounded haha im sat eating apple watching death note anime,-0.30000000000000004,negative,0
b783916431,"Huh, another ScarePoint coding Sunday",huh another scarepoint coding sunday,0.0,neutral,2
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,look found,0.0,neutral,2
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",ac fan doesnt swing way sweating hot humid day,0.25,positive,1
95701e8ed9, guess that depends on if you want to be on the jury,guess depends want jury,0.0,neutral,2
